ID,Bundle,Field label,Machine name,Reused Field,X,Dev,QA,Field group,Field type,Ref. bundle,Req'd,Vals.,Form widget,Trns.,Settings/notes,Help text,Bundle machine name
,Hours Library (Content type),Page families,field_page_families,y,d,,,,Entity reference,Page Families (Vocabulary),n,*,Autocomplete,n,,Make sure you are only tagging one node with each family tag.,hours
,Hours Library (Content type),Building Info,field_building,y,a,,,,Text (plain),,y,1,Text area with a summary,n,,,hours
,Hours Library (Content type),Hours,field_hours,n,a,,,,Entity reference,Hours Set (Paragraph type),y,*,Paragraphs Stable,n,"Closed, Preview, No Autocollapse, Buttons, Default form display, Hours Set default paragraph, Only collapse/edit all enabled.",,hours
,Hours Library (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,hours
,Hours Library (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,hours
,Hours Library (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,hours
,Hours Library (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,hours
,,,,,,,,,,,,,,,,,#VALUE!
,Job (Content type),Title,-,-,a,,,,Entity label,,-,-,Textfield,n,,,job
,Job (Content type),Meta Description,field_meta_description,y,a,,,,"Text (plain, long)",,y,1,Text area (multiple rows),n,"Set as metatag abstract, not shown on node",,job
,Job (Content type),Job ID,field_job_id,n,a,,,,Text (plain),,y,1,Textfield,n,,,job
,Job (Content type),Date Posted,field_date_posted,n,a,,,,Date,,y,1,Date and time,n,Date only,,job
,Job (Content type),Apply By,field_apply_by,n,a,,,,Date,,y,1,Date and time,n,Date only. Need disclaimer text added on front side: https://www.uwec.edu/job-postings/19938/,,job
,Job (Content type),FT/PT,field_ft_pt,n,a,,,,List (text),,y,1,Check boxes/radio buttons,n,,,job
,Job (Content type),Campus,field_campus,n,a,,,,Entity reference,Campuses (Vocabulary),y,1,Select list,n,,,job
,Job (Content type),Department,field_department,n,a,,,,Entity reference,Department (Content type),n,1,Autocomplete,n,,,job
,Job (Content type),Position Type,field_position_type,n,a,,,,List (text),,n,1,Select list,n,,,job
,Job (Content type),Interest Area,field_interest_area,n,a,,,,Entity reference,Interest Types (Vocabulary),n,1,Select list,n,,,job
,Job (Content type),Position,body,y,a,,,,"Text (formatted, long, with summary)",,n,1,Textfield,n,Limited HTML Allowed,A brief overall description of the position.,job
,Job (Content type),Additional Information,field_additional_info,y,a,,,,"Text (formatted, long)",,n,1,Text area (multiple rows),n,Limited HTML Allowed,,job
,Job (Content type),Editorial Access,field_editorial_access,y,a,x,,,Entity reference,Editorial Access (Vocabulary),y,*,Check boxes/radio buttons,n,,,job
,Job (Content type),Domain Source,field_domain_source,y,a,x,,,Entity reference,,y,1,Select list,n,,,job
,Job (Content type),Domain Record,field_domain_record,y,a,x,,,Entity reference,,y,1,Check boxes/radio buttons,n,,,job
,Job (Content type),Send to all affiliates,field_domain_all_affiliates,y,a,x,,,Boolean,,n,1,Single on/off checkbox,n,,,job
,Job (Content type),Metatags,field_metatags,y,a,,,,Meta tags,,n,1,Advanced meta tags form,n,,,job
,,,,,,,,,,,,,,,,,#VALUE!
